age,taille,poids,revenu_estime_mois,risque_personnel,loyer_mensuel,montant_pret
40,177.6,85.5,3474.0,0.71,1278.27,16752.789752354092
56,160.5,66.6,1908.0,0.47,5000.0,20423.84320730014
57,176.5,77.0,1176.0,0.32,5000.0,500.0
38,160.2,57.8,3112.0,0.7,623.38,500.0
33,167.5,38.5,2377.0,0.44,5000.0,18901.259369115334
48,156.8,77.6,4010.0,0.57,10000.0,40021.07903996854
59,174.4,62.1,2448.0,0.33,10000.0,500.0
41,172.6,62.4,4319.0,0.08,5000.0,500.0
43,153.2,69.8,4897.0,0.27,10000.0,35962.04802835945
45,168.0,58.7,4231.0,0.06,5000.0,500.0
61,167.0,57.3,2261.0,0.73,734.6,24528.671120857394
21,162.0,79.6,645.0,0.03,10000.0,500.0
22,160.4,73.5,3191.0,0.74,10000.0,3639.7413556351794
75,147.7,54.3,2452.0,0.49,5000.0,500.0
60,164.2,79.5,2571.0,0.41,10000.0,33049.468422152735
44,150.0,57.9,4154.0,0.76,5000.0,10656.8885958248
21,179.9,48.9,969.0,0.02,731.72,500.0
29,178.0,76.3,3121.0,0.72,5000.0,7051.1771065952
25,166.1,82.6,3384.0,0.65,10000.0,500.0
68,185.4,56.5,2285.0,0.21,10000.0,2724.919805153449
27,157.7,52.5,2483.0,0.99,33.29,26282.620988748466
72,157.2,64.2,2466.0,0.16,5000.0,5070.610961595275
72,162.2,54.9,2684.0,0.78,5000.0,15080.08702060483
35,178.6,70.5,4243.0,0.02,10000.0,14306.900020371317
44,154.9,67.5,2265.0,0.22,10000.0,6693.74203294808
23,153.4,74.9,3055.0,0.35,5000.0,1798.0125221383746
42,170.7,87.0,1203.0,0.38,5000.0,10497.778053549608
62,165.3,86.1,4340.0,0.7,1004.67,500.0
23,170.3,91.7,1676.0,0.04,10000.0,500.0
23,170.8,46.7,531.0,0.96,5000.0,500.0
22,157.9,31.8,1733.0,0.64,1411.64,6372.475344505444
37,166.2,85.2,2743.0,0.49,5000.0,16741.9804046619
27,160.6,71.5,500.0,0.23,5000.0,14504.604268333092
49,156.9,68.6,1711.0,0.53,5000.0,500.0
27,137.6,57.3,3193.0,0.07,5000.0,17151.38822035942
59,172.6,70.3,3498.0,0.86,459.59,12032.654325077505
41,177.4,82.0,1882.0,0.2,5000.0,28685.37160497041
45,162.2,46.1,1084.0,0.98,10000.0,500.0
73,159.2,67.1,2345.0,0.86,5000.0,500.0
43,161.9,56.7,2740.0,0.1,773.51,6726.144540197254
60,165.8,64.5,1704.0,0.3,5000.0,500.0
57,173.2,54.9,871.0,0.47,5000.0,500.0
64,171.3,71.2,2589.0,0.7,5000.0,20212.703427559845
49,181.9,72.9,1127.0,0.22,5000.0,5504.582746306162
68,181.6,81.4,1526.0,0.49,5000.0,8878.890939012841
23,162.8,42.8,1797.0,0.04,546.16,500.0
40,155.4,74.5,2165.0,0.84,887.1,500.0
72,171.1,60.4,2676.0,0.46,5000.0,10124.44495985712
68,161.0,63.5,2107.0,0.84,688.7,8921.973730630438
32,163.8,76.0,2063.0,0.38,854.72,6035.446018551712
48,188.6,81.7,1290.0,0.49,10000.0,8255.660172817976
75,164.3,65.9,1313.0,0.85,1260.4,5083.612822428259
57,171.0,39.3,1029.0,0.52,10000.0,500.0
75,175.4,79.0,2362.0,0.39,5000.0,500.0
62,178.4,66.8,3735.0,0.4,5000.0,500.0
37,171.7,82.7,2379.0,0.21,5000.0,500.0
63,170.2,47.8,2170.0,0.15,902.3,16629.25199108691
70,180.8,86.5,5338.0700000000015,0.62,5000.0,29125.10607760429
51,150.6,81.2,3353.0,0.86,5000.0,29651.483306242997
31,176.9,72.0,1599.0,0.35,5000.0,500.0
31,170.0,51.7,1814.0,0.07,5000.0,38558.79613385785
21,172.5,75.1,609.0,1.0,723.68,500.0
20,179.9,73.5,3332.0,0.03,5000.0,14791.054255033709
56,161.2,92.0,2204.0,0.81,5000.0,24690.30817151772
42,166.9,85.5,3099.0,0.73,5000.0,14232.322333697375
55,182.7,74.8,1771.0,0.09,5000.0,500.0
25,156.3,82.4,5338.0700000000015,0.29,5000.0,27702.156529405507
67,176.1,75.2,2979.0,0.56,5000.0,30331.9324936551
49,180.4,66.0,3192.0,0.35,621.78,500.0
47,168.4,66.8,3877.0,0.69,780.64,26198.455079027182
68,169.2,93.5,2128.0,0.18,5000.0,500.0
19,152.9,55.7,1772.0,0.42,10000.0,12454.328982490384
65,176.8,59.5,5181.0,0.56,10000.0,14858.463980839962
75,160.0,66.5,3746.0,0.73,1002.34,16415.71124195981
53,178.0,43.5,2952.0,0.03,1101.41,24462.730419394706
59,151.6,78.3,500.0,0.38,672.52,500.0
20,171.6,88.3,500.0,0.2,921.64,500.0
34,176.9,43.0,1863.0,0.92,5000.0,14449.054890309168
54,164.4,80.1,1363.0,0.44,10000.0,500.0
73,159.4,69.4,3806.0,0.29,5000.0,500.0
67,164.9,64.9,951.0,0.35,5000.0,500.0
25,170.7,79.9,500.0,0.26,10000.0,500.0
66,151.8,58.3,2612.0,0.25,1616.31,500.0
69,185.7,71.8,936.0,0.28,5000.0,500.0
59,168.4,72.7,1251.0,0.86,926.12,4878.545755190827
35,154.3,90.8,614.0,0.95,821.99,500.0
40,173.7,61.6,1899.0,0.31,1414.5,23223.68674933023
64,156.4,52.9,1541.0,0.33,5000.0,500.0
55,147.3,95.3,1440.0,0.06,948.67,32053.702626437243
51,189.5,66.6,4944.0,0.92,10000.0,500.0
43,161.7,70.8,1103.0,0.69,10000.0,500.0
36,168.7,94.1,2002.0,0.23,5000.0,9001.546015414096
72,161.5,47.1,4216.0,0.29,10000.0,500.0
23,166.6,66.8,2582.0,0.83,5000.0,10903.397392817302
67,155.8,61.9,863.0,0.65,10000.0,500.0
26,165.8,83.7,3895.0,0.61,5000.0,3166.058998466729
70,170.0,68.5,500.0,0.92,548.48,24181.38134356665
64,161.4,69.0,3318.0,0.61,10000.0,2720.813788949977
49,172.1,68.2,500.0,0.5,5000.0,500.0
69,173.4,51.2,1817.0,0.15,10000.0,500.0
22,169.2,93.2,1224.0,0.23,5000.0,11196.8709848394
19,157.9,61.6,2237.0,0.62,10000.0,4057.591842683427
38,169.3,96.0,3210.0,0.26,10000.0,30089.662669880072
22,173.5,61.9,796.0,0.88,5000.0,10822.827044993295
63,186.8,70.6,3885.0,0.5,10000.0,15757.66361823247
56,170.1,74.4,898.0,0.02,5000.0,500.0
47,160.5,48.4,3582.0,0.12,724.76,3735.658720627448
46,173.9,58.2,2047.0,0.1,957.57,15966.5991061799
49,179.8,43.1,3214.0,0.55,303.13,7056.806036648549
56,180.2,72.9,500.0,0.14,5000.0,500.0
51,172.0,76.7,3527.0,0.03,654.46,500.0
22,160.1,71.0,2450.0,0.86,10000.0,500.0
30,172.0,45.4,2893.0,0.05,793.96,500.0
57,171.9,88.1,4262.0,0.89,10000.0,500.0
51,184.7,62.0,2926.0,0.42,5000.0,35758.18072081153
34,170.4,86.6,2399.0,0.01,5000.0,11737.23847284871
71,169.8,73.9,1287.0,0.63,10000.0,2814.1386162062663
28,178.2,72.8,1768.0,0.71,5000.0,500.0
20,157.0,67.8,1559.0,0.79,10000.0,500.0
65,162.2,82.4,2632.0,0.57,5000.0,11759.638243193413
63,179.7,93.6,2798.0,0.9,656.99,14866.76807385541
67,160.3,73.4,3409.0,0.87,5000.0,18711.66358452964
40,170.3,74.4,3130.0,0.82,5000.0,500.0
74,169.1,76.3,1899.0,0.41,5000.0,20814.697568663774
21,169.3,74.0,3444.0,0.23,5000.0,500.0
32,150.5,66.6,2603.0,0.35,10000.0,30210.987049606567
75,184.8,58.6,3656.0,0.22,10000.0,3066.137791409429
37,158.0,66.9,4084.0,0.52,10000.0,9573.778332032196
24,180.3,99.8,2306.0,0.23,10000.0,4554.810431805047
47,173.5,75.8,2384.0,0.22,5000.0,6829.661938726994
23,158.8,44.8,1713.0,0.58,5000.0,500.0
44,162.3,45.4,1962.0,0.7,10000.0,500.0
35,153.7,76.8,2789.0,0.64,5000.0,29152.59717199099
40,180.5,85.9,3336.0,0.21,5000.0,500.0
57,160.5,80.2,2623.0,0.54,10000.0,4383.465051415476
41,179.0,35.9,2699.0,0.33,5000.0,8620.740440969317
68,177.0,86.3,3059.0,0.75,5000.0,500.0
23,163.3,61.0,2360.0,0.87,10000.0,500.0
43,147.0,69.5,4971.0,0.36,10000.0,25883.89703555264
21,172.1,54.2,500.0,0.22,10000.0,2571.4279977966503
44,167.9,74.2,3485.0,0.78,5000.0,6950.691750123016
75,156.9,88.8,989.0,0.26,5000.0,12906.990479801343
32,178.3,78.4,2538.0,0.91,5000.0,21288.40814422946
30,164.7,69.6,2830.0,0.26,805.29,7501.263720832778
23,157.2,47.2,3583.0,0.39,615.43,13702.678326689054
35,159.0,59.6,2107.0,0.34,5000.0,500.0
32,172.2,63.9,4405.0,0.48,853.79,500.0
58,181.8,86.9,962.0,0.87,5000.0,14356.8655104378
62,186.6,78.8,3271.0,0.22,5000.0,17984.913231590494
53,173.3,55.2,699.0,0.82,989.81,9786.53291738366
48,175.2,72.0,4371.0,0.52,5000.0,500.0
32,177.5,71.4,1464.0,0.76,420.05,500.0
19,178.3,47.7,4022.0,0.53,5000.0,20399.31047104829
50,175.3,69.6,2020.0,0.08,718.47,500.0
39,156.5,74.0,5025.0,0.38,10000.0,28688.895789414644
29,153.8,60.9,4116.0,0.42,5000.0,32226.988031995694
58,165.6,56.9,3767.0,0.32,5000.0,500.0
68,158.3,87.4,3955.0,0.94,933.28,10639.305587861045
39,174.2,43.4,1808.0,0.76,766.8,5630.096497060186
31,187.1,69.8,2649.0,0.03,10000.0,500.0
29,172.3,77.4,2483.0,0.71,10000.0,500.0
53,158.6,72.2,1371.0,0.94,1069.99,500.0
60,156.9,78.6,2340.0,0.06,10000.0,15184.584884713417
45,168.8,91.3,2906.0,0.44,1166.1,29132.162879314223
33,173.4,51.0,5338.0700000000015,0.42,519.12,15351.456734074622
26,164.8,99.3,1587.0,0.73,5000.0,500.0
23,177.3,71.7,1513.0,0.65,5000.0,500.0
42,179.2,76.7,2273.0,0.51,5000.0,11655.390877132537
45,171.0,58.3,3352.0,0.01,5000.0,500.0
52,171.4,76.8,2962.0,0.4,1042.69,500.0
26,177.4,34.3,3531.0,0.4,622.09,8280.067769939777
52,177.0,58.0,2014.0,0.29,5000.0,500.0
49,183.2,67.0,5338.0700000000015,0.4,5000.0,500.0
27,179.1,87.6,2099.0,0.38,5000.0,15284.764778404458
71,176.1,62.2,1534.0,0.05,10000.0,20138.50357849674
63,166.0,92.2,930.0,0.46,10000.0,8042.88785006186
55,192.3,70.9,3907.0,0.14,579.29,500.0
36,159.9,71.4,4632.0,0.41,54.98,16683.472226033566
60,163.5,111.2,500.0,0.22,5000.0,500.0
22,175.8,67.0,884.0,0.13,5000.0,500.0
72,160.5,77.5,2445.0,0.85,5000.0,500.0
51,175.3,60.4,2408.0,0.29,5000.0,2050.7157398082786
19,180.4,79.3,500.0,0.6,5000.0,15874.774716771984
26,167.9,68.5,2262.0,0.48,5000.0,500.0
59,146.9,48.7,2618.0,0.2,5000.0,8886.31357750079
46,188.4,71.2,2298.0,0.7,10000.0,500.0
19,176.1,41.6,3278.0,0.66,5000.0,2813.156186853146
34,175.5,94.5,2425.0,0.33,10000.0,23210.797866626606
70,170.6,53.7,3247.0,0.79,5000.0,5257.865301498262
68,172.7,75.0,1217.0,0.5,437.78,500.0
19,182.6,60.0,1382.0,0.97,1228.62,500.0
38,159.9,58.5,1866.0,0.94,10000.0,500.0
33,163.6,87.7,1517.0,0.06,5000.0,500.0
50,178.5,66.3,2501.0,0.6,567.95,24670.306600109925
34,175.5,82.6,3893.0,0.33,10000.0,7977.963403126492
62,155.3,67.3,1915.0,0.7,758.8,500.0
70,169.1,71.9,4917.0,0.53,10000.0,13179.96915777943
62,167.7,69.7,1393.0,0.99,5000.0,500.0
46,160.3,69.1,5338.0700000000015,0.83,802.5,32624.62424784305
60,162.5,93.2,4456.0,0.44,930.0,20788.62505341787
73,170.0,59.7,4222.0,0.03,691.24,500.0
66,180.2,87.2,4100.0,0.21,5000.0,500.0
39,186.6,82.6,3149.0,0.85,688.67,22092.708515061127
29,161.9,57.4,2152.0,0.88,5000.0,500.0
37,153.9,57.1,2652.0,0.21,10000.0,500.0
49,186.6,65.8,1522.0,0.09,5000.0,500.0
22,164.1,45.9,1290.0,0.38,127.1,16857.98479163118
33,158.6,109.5,3351.0,0.18,10000.0,22455.43441767607
72,165.0,56.5,3613.0,0.21,5000.0,500.0
61,161.3,79.3,1664.0,0.85,10000.0,500.0
43,185.8,100.2,3269.0,1.0,5000.0,500.0
60,183.7,80.3,3928.0,0.11,5000.0,34295.832598520334
58,162.8,79.3,3416.0,0.89,5000.0,18587.129442140165
22,188.2,104.0,3905.0,0.05,10000.0,18399.61442914501
33,156.2,68.3,4166.0,0.42,297.59,500.0
61,174.6,110.8,1552.0,0.9,748.17,500.0
48,169.2,76.4,1028.0,0.3,1018.92,500.0
54,172.7,73.8,3156.0,0.71,5000.0,500.0
47,151.2,62.3,2970.0,0.12,10000.0,500.0
72,169.0,77.0,1508.0,0.46,10000.0,500.0
48,168.0,97.0,4631.0,0.03,5000.0,36033.114778201976
74,186.0,102.9,1541.0,0.82,5000.0,37740.068058608034
45,164.5,82.7,2098.0,0.61,5000.0,500.0
32,167.6,61.5,4698.0,0.67,5000.0,30376.436480777666
70,161.9,106.7,1445.0,0.03,10000.0,500.0
30,162.9,66.1,1633.0,0.58,10000.0,2580.1153810490573
20,168.7,63.0,2761.0,0.85,5000.0,500.0
26,159.0,26.2,1791.0,0.99,5000.0,19556.79249643196
28,176.0,83.2,5338.0700000000015,0.4,5000.0,19764.347867278266
66,168.4,44.0,1255.0,0.03,1035.16,500.0
29,167.9,84.7,2501.0,0.77,5000.0,8951.748512055701
25,161.3,50.5,1439.0,0.44,5000.0,500.0
39,171.8,71.4,2884.0,0.55,10000.0,22144.99931479974
46,181.0,95.3,500.0,0.31,5000.0,500.0
26,170.7,35.9,4878.0,0.58,5000.0,32308.384532419597
74,169.5,92.8,3148.0,0.31,1268.3,25707.40229811243
32,174.0,66.8,1623.0,0.08,5000.0,15491.537251224858
67,157.2,97.3,2066.0,0.49,5000.0,16226.947381582757
38,182.1,81.9,2675.0,0.17,5000.0,500.0
52,160.9,66.4,1996.0,0.44,5000.0,11326.25449697811
63,166.7,61.9,1835.0,0.76,837.09,500.0
57,173.7,75.8,500.0,0.78,5000.0,500.0
58,178.4,49.1,500.0,0.94,676.85,10725.625743409684
25,168.5,88.3,1191.0,0.74,704.13,3326.8459813784034
58,185.9,76.4,2143.0,0.23,5000.0,500.0
22,173.3,72.5,706.0,0.51,703.03,21170.17087603601
22,179.6,55.6,4170.0,0.95,5000.0,500.0
26,176.2,65.5,3486.0,0.92,648.73,3269.816402584081
42,152.8,87.7,3511.0,0.55,5000.0,500.0
67,170.0,85.0,1740.0,0.85,742.23,500.0
30,149.7,60.8,2227.0,0.18,5000.0,500.0
47,172.2,63.3,2137.0,0.66,10000.0,500.0
50,186.3,65.6,2480.0,0.97,10000.0,500.0
50,180.9,73.6,2782.0,0.87,5000.0,8052.316794480487
50,189.5,90.2,2397.0,0.97,5000.0,500.0
20,178.7,37.7,1942.0,0.84,5000.0,15686.78132850265
60,168.9,59.8,2475.0,0.98,5000.0,25720.956678722483
37,165.3,72.8,2805.0,0.69,5000.0,500.0
20,167.7,67.8,1034.0,0.83,10000.0,500.0
52,182.6,66.2,640.0,0.35,5000.0,500.0
36,154.3,97.1,2557.0,0.1,5000.0,500.0
49,184.7,55.6,2657.0,0.46,646.33,500.0
66,156.1,85.5,3901.0,0.72,5000.0,3727.548198082763
38,192.8,86.4,2686.0,0.6,5000.0,22474.032687219635
18,163.5,73.7,1341.0,0.55,1603.34,500.0
57,175.8,83.7,1663.0,0.17,10000.0,14645.02503793896
66,147.4,83.0,4074.0,0.29,10000.0,500.0
57,165.6,79.2,3673.0,0.1,5000.0,1039.6814070236503
52,172.0,65.8,1783.0,0.85,10000.0,10698.689308826526
20,170.1,63.4,4054.0,0.62,5000.0,31326.215437795137
46,168.0,76.7,3967.0,0.93,10000.0,9547.31726536674
73,167.0,77.1,1195.0,0.03,5000.0,500.0
56,161.8,61.2,3104.0,0.84,10000.0,24714.428346144625
19,181.0,59.7,1625.0,0.58,10000.0,15784.65644627697
41,176.7,79.7,2967.0,0.42,1129.56,32043.77956862413
67,161.0,90.0,1518.0,0.54,10000.0,20371.989900380795
71,161.7,68.5,2480.0,0.7,5000.0,11768.124179750985
19,169.5,91.2,984.0,0.15,235.98,500.0
33,174.2,99.3,2295.0,0.13,10000.0,500.0
37,161.2,84.1,2011.0,0.53,5000.0,1113.829489318093
58,196.1,45.5,3034.0,0.19,831.9,19524.748467578767
23,177.4,91.5,3667.0,0.4,5000.0,9768.568084750788
25,179.5,49.5,3003.0,0.46,270.22,500.0
50,166.2,71.1,2906.0,0.26,10000.0,500.0
33,182.0,79.3,3289.0,0.83,5000.0,500.0
51,188.6,73.6,1501.0,0.95,5000.0,500.0
25,178.9,62.5,1699.0,0.22,5000.0,500.0
34,187.7,88.3,2910.0,0.57,1089.39,3478.2784107224384
67,188.8,63.5,2204.0,0.87,841.35,500.0
46,166.2,88.9,2991.0,0.68,5000.0,3956.1305457758576
74,180.5,69.4,1246.0,0.74,5000.0,500.0
20,178.6,67.4,3065.0,0.85,10000.0,500.0
74,157.2,45.4,500.0,0.23,5000.0,500.0
30,177.1,82.5,3091.0,0.35,5000.0,15788.97905842714
70,173.1,88.4,3298.0,0.53,250.23,15117.602265736034
57,173.8,65.7,2225.0,0.15,10000.0,14448.913633781498
40,183.9,55.0,2352.0,0.7,5000.0,25896.143475960027
18,180.3,86.7,1659.0,0.44,10000.0,20424.118436131917
21,176.1,84.6,1788.0,0.08,5000.0,35273.91129309822
31,172.9,89.7,4499.0,0.69,10000.0,19896.889771322905
30,182.8,98.7,2488.0,0.74,5000.0,6745.451611897515
26,167.0,119.4,3375.0,0.62,5000.0,9432.456600866117
64,167.3,66.8,2072.0,0.42,5000.0,500.0
64,171.5,52.1,4057.0,0.03,5000.0,32056.67702970769
35,192.9,79.2,4060.0,0.87,568.92,2685.6457974789305
32,171.1,91.5,4320.0,0.78,5000.0,500.0
74,182.5,69.9,500.0,0.33,1028.04,500.0
54,179.5,66.0,1226.0,0.87,10000.0,25448.706079561383
29,176.8,74.1,1034.0,0.24,10000.0,22411.66864137075
57,154.8,86.5,1519.0,0.72,849.57,500.0
29,179.1,84.4,2267.0,0.41,5000.0,14342.908068679784
59,153.5,82.6,500.0,0.04,10000.0,26151.816919055123
60,151.4,80.2,1380.0,0.04,10000.0,500.0
24,178.5,73.6,2287.0,0.61,5000.0,18779.775335854243
70,188.1,66.3,1214.0,0.33,10000.0,500.0
55,173.0,68.6,1009.0,0.66,5000.0,500.0
57,153.3,57.4,2174.0,0.37,827.23,26627.317359352768
46,164.9,59.9,2151.0,0.75,5000.0,500.0
63,177.6,80.4,1185.0,0.27,5000.0,500.0
18,166.1,66.4,2376.0,0.44,5000.0,500.0
20,158.4,79.0,1349.0,0.0,10000.0,2970.217234330531
72,184.3,38.4,2567.0,0.87,10000.0,2682.73230928322
58,159.7,53.9,3168.0,0.91,812.64,21583.85196791177
64,165.4,74.8,3212.0,0.24,5000.0,22800.89475109125
26,164.6,67.3,3343.0,0.93,962.72,6134.9710680646285
60,179.3,61.4,3117.0,0.95,5000.0,500.0
58,182.3,78.0,1289.0,0.98,10000.0,500.0
